# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,-0.0003044312186683971,0,3.0,-0.0008808172410935084,0.0,0.0,0.0
 0.0894427191006229,1.012,2.9999999362400747,-0.0003044312186683971,0.2683281573018687,3.0,-0.0008808172410935084,0.0,-0.016346365783996484,0.0
 0.12649110641117042,1.024,2.9999997456422225,-0.0009100377093537806,0.37947331923351124,2.999999999999999,-0.0008737223613155932,0.0,-0.021131200081757853,0.0
 0.1549193338608938,1.036,2.999999429229331,-0.0015107602715636061,0.4647580015826814,3.000000000000001,-0.0008666157326975886,0.0,-0.024861722837389286,0.0
 0.17888543822600642,1.048,2.9999989880242857,-0.0021065989157809818,0.5366563146780192,2.9999999999999987,-0.0008595064077526975,0.0,-0.027988017312428087,0.0
 0.2000000000454423,1.06,2.9999984230499726,-0.002697553637527686,0.6000000001363268,2.9999999999999973,-0.0008524037408184173,0.0,-0.0307019793504396,0.0
 0.21908902307353215,1.072,2.9999977353292797,-0.0032836244283561667,0.6572670692205963,2.999999999999997,-0.0008452983988515028,0.0,-0.03310819735437265,0.0
 0.23664319142860354,1.084,2.999996925885093,-0.0038648112986477533,0.7099295742858105,3.0,-0.000838199895285805,0.0,-0.03527157036614466,0.0
 0.2529822129588307,1.096,2.9999959957402984,-0.004441114246265114,0.758946638876492,3.0000000000000018,-0.0008310987421424774,0.0,-0.0372358325194365,0.0
 0.2683281574940689,1.108,2.9999949459177833,-0.0050125332668318045,0.8049844724822065,2.999999999999993,-0.0008239948709285843,0.0,-0.03903220516536913,0.0
 0.2828427127257974,1.12,2.9999937774404337,-0.0055790683645207135,0.8485281381773919,2.9999999999999925,-0.0008168882107416319,0.0,-0.040683950629365445,0.0
 0.2966479398007587,1.1320000000000001,2.9999924913311355,-0.0061407195412656185,0.8899438194022758,3.000000000000004,-0.0008097886057821637,0.0,-0.04220898461936358,0.0
 0.3098386680882337,1.1440000000000001,2.9999910886127763,-0.006697486788669853,0.9295160042647008,3.000000000000004,-0.0008026862380116403,0.0,-0.04362147715147248,0.0
 0.3224903104074994,1.1560000000000001,2.9999895703082418,-0.007249370115028306,0.967470931222498,3.0,-0.0007955810334448079,0.0,-0.044932876774470575,0.0
 0.3346640111825412,1.1680000000000001,2.9999879374404195,-0.0077963695118425345,1.0039920335476233,3.0,-0.0007884729153991605,0.0,-0.04615260605763544,0.0
 0.3464101621856793,1.1800000000000002,2.9999861910321943,-0.008338484991783869,1.0392304865570376,2.9999999999999907,-0.0007813720826734239,0.0,-0.047288532985545355,0.0
 0.35777087718468326,1.1920000000000002,2.9999843321064548,-0.008875716537753646,1.0733126315540493,2.9999999999999902,-0.0007742683632462944,0.0,-0.04834732234398351,0.0
 0.3687817791992258,1.2040000000000002,2.9999823616860857,-0.009408064166748751,1.1063453375976768,2.999999999999995,-0.0007671616769342421,0.0,-0.04933467499126718,0.0
 0.37947332026063096,1.2160000000000002,2.9999802807939737,-0.009935527870168962,1.1384199607818926,3.0000000000000155,-0.0007600519405203465,0.0,-0.050255522376024674,0.0
 0.389871774975945,1.2280000000000002,2.9999780904530065,-0.010458107643790506,1.1696153249278347,3.0000000000000053,-0.0007529604000458889,0.0,-0.05111416685995657,0.0
 0.400000001337101,1.2400000000000002,2.9999757916860696,-0.010975803496010047,1.2000000040113028,3.0000000000000053,-0.0007458445044355584,0.0,-0.05191438849406958,0.0
 0.4098780321394458,1.2520000000000002,2.9999733855160495,-0.011488615424639359,1.2296340964183372,3.0000000000000058,-0.0007387470362646308,0.0,-0.05265953399581942,0.0
 0.419523540943608,1.2640000000000002,2.9999708729658336,-0.011996543423419114,1.2585706228308238,2.9999999999999942,-0.0007316465785592213,0.0,-0.05335258683431897,0.0
 0.42895221365116704,1.2760000000000002,2.9999682550583073,-0.012499587502781531,1.286856640953501,3.0000000000000058,-0.000724543043433125,0.0,-0.05399621643392051,0.0
 0.43817804806047334,1.2880000000000003,2.9999655328163577,-0.012997747654329945,1.3145341441814198,2.999999999999994,-0.000717436339480246,0.0,-0.05459282989564872,0.0
 0.44721359776269926,1.3000000000000003,2.999962707262871,-0.013491023882237245,1.3416407932880976,3.000000000000006,-0.0007103376777531552,0.0,-0.05514460312277468,0.0
 0.4560701725195101,1.3120000000000003,2.999959779420734,-0.013979416182228763,1.36821051755853,2.9999999999999813,-0.0007032358816409884,0.0,-0.05565351554816929,0.0
 0.4647580042525901,1.3240000000000003,2.9999567503128333,-0.01446292456066561,1.39427401275777,2.999999999999994,-0.0006961308552188956,0.0,-0.05612137067356255,0.0
 0.47328638559425495,1.3360000000000003,2.999953620962055,-0.014941549011186677,1.4198591567827645,3.0000000000000067,-0.0006890224985605934,0.0,-0.056549822653237394,0.0
 0.4816637863473028,1.3480000000000003,2.9999503923912862,-0.01541528953806663,1.4449913590419081,3.0000000000000133,-0.0006819224848104034,0.0,-0.056940389866203554,0.0
 0.48989795201230174,1.3600000000000003,2.9999470656234126,-0.015884146141254576,1.4696938560369048,2.9999999999999796,-0.0006748191762552927,0.0,-0.05729447218396115,0.0
 0.49799598764598185,1.3720000000000003,2.999943641681321,-0.01634811881861319,1.4939879629379453,3.0000000000000204,-0.0006677124677456083,0.0,-0.05761336408504288,0.0
